,timestamp, latitude, longitude ,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
0,1545365126,49.3123,128.7256,-0.007499803996800225,-0.033736075135063416,0.4353257223892725,0.01668058104410506,0.01506052563274513,-1.4080554520872923
1,1545365136,49.1101,129.63,-0.005916253026570312,-0.03406398678544398,0.4321304829628597,0.016672760524320315,0.01506052563274513,-1.4080554520872923
2,1545365146,48.9003,130.5266,-0.004317705059566884,-0.034325634046523286,0.4288489701287593,0.016664929108906986,0.01506052563274513,-1.4080554520872923
3,1545365156,48.6828,131.4152,-0.002706688054312234,-0.034520837627741004,0.42548326739846015,0.016657088764067268,0.01506052563274513,-1.4080554520872923
4,1545365166,48.4579,132.2957,-0.0010878185564158203,-0.03464961746468197,0.42203795623097096,0.01664924146206899,0.01506052563274513,-1.4080554520872923
5,1545365176,48.2375,133.1245,0.00045410254594843713,-0.034710628804952286,0.4186945180152671,0.016641389176054663,0.01506052563274513,-1.4080554520872923
6,1545365186,47.9985,133.9886,0.002078063692726534,-0.034710696184437284,0.4151046278940109,0.016633533978042375,0.01506052563274513,-1.4080554520872923
7,1545365196,47.7525,134.8443,0.003699381728524964,-0.03464555836840475,0.4114458888884647,0.01662567762258261,0.01506052563274513,-1.4080554520872923
8,1545365206,47.4994,135.6914,0.005315847440608285,-0.0345159594895193,0.4077205951071548,0.016617822049613373,0.01506052563274513,-1.4080554520872923
9,1545365216,47.2396,136.5299,0.006922880665404391,-0.03432283635356683,0.4039341699460814,0.016609969177419283,0.01506052563274513,-1.4080554520872923
10,1545365226,46.9731,137.3598,0.008518064049844676,-0.03406722814578389,0.4000892300171275,0.016602120897840918,0.01506052563274513,-1.4080554520872923
11,1545365236,46.7,138.1808,0.01009849556971798,-0.03375041537590638,0.396189803759831,0.01659427907229082,0.01506052563274513,-1.4080554520872923
12,1545365246,46.4205,138.9931,0.011661083757325193,-0.03337369085116742,0.3922395298784041,0.016586445524946102,0.01506052563274513,-1.4080554520872923
13,1545365256,46.1347,139.7965,0.013203255793361457,-0.03293858766159759,0.3882422422043888,0.016578622042253008,0.01506052563274513,-1.4080554520872923
14,1545365266,45.8427,140.5911,0.014722660590613612,-0.03244663168588095,0.3842010800835993,0.016570810365759314,0.01506052563274513,-1.4080554520872923
15,1545365276,45.5446,141.3769,0.016217063612006727,-0.031899482187400525,0.3801194029352512,0.01656301219210781,0.01506052563274513,-1.4080554520872923
16,1545365286,45.2407,142.1539,0.01768349202251293,-0.031298965948943026,0.3760021120634274,0.016555229169093428,0.01506052563274513,-1.4080554520872923
17,1545365296,44.9309,142.922,0.01912093108045132,-0.03064692346512391,0.3718512236464725,0.016547462891118685,0.01506052563274513,-1.4080554520872923
18,1545365306,44.6155,143.6814,0.02052677548826551,-0.029945215604337067,0.3676711642686367,0.016539714897852453,0.01506052563274513,-1.4080554520872923
19,1545365316,44.2945,144.4321,0.02189987626137616,-0.0291957710821525,0.3634644397504235,0.01653198667439271,0.01506052563274513,-1.4080554520872923
20,1545365326,43.9681,145.174,0.023238398375853758,-0.028400756925316805,0.3592353147871204,0.01653198667439271,0.01505279275418578,-1.4080554520872923
21,1545365336,43.6364,145.9074,0.02454109371127128,-0.02756200087991563,0.3549863547739231,0.01653198667439271,0.015045021092148097,-1.4080554520872923
22,1545365346,43.2995,146.6321,0.025806893435170952,-0.0266818001933784,0.3507211613782884,0.01653198667439271,0.015037211731707672,-1.4080554520872923
23,1545365356,42.9575,147.3483,0.027034864745409337,-0.0257621216221153,0.3464424243645433,0.01653198667439271,0.015029365788829997,-1.4080554520872923
24,1545365366,42.6105,148.0562,0.028224209784919907,-0.02480492617482769,0.3421527990441112,0.01653198667439271,0.015021484406599329,-1.4080554520872923
25,1545365376,42.2588,148.7556,0.029373628235459495,-0.023812743982170783,0.3378573477705952,0.01653198667439271,0.015013568751170206,-1.4080554520872923
26,1545365386,41.9023,149.4466,0.030483433982288144,-0.022787546769868928,0.33355715916578754,0.01653198667439271,0.01500562002603668,-1.4080554520872923
27,1545365396,41.5411,150.1296,0.03155322199348223,-0.021731078395831743,0.32925432544044475,0.01653198667439271,0.014997639424863025,-1.4080554520872923
28,1545365406,41.1755,150.8044,0.032582220059398204,-0.02064591311226983,0.324953703746372,0.01653198667439271,0.014989628152762204,-1.4080554520872923
29,1545365416,40.8055,151.4713,0.03357070830162348,-0.01953381294872017,0.3206566406373689,0.01653198667439271,0.014981587436367802,-1.4080554520872923
30,1545365426,40.45,152.0974,0.034472506805675464,-0.018454508748126174,0.3165802631835345,0.01653198667439271,0.0149735184934085,-1.4080554520872923
31,1545365436,40.0717,152.7488,0.035382675983737934,-0.017296247728026886,0.3122977992271915,0.01653198667439271,0.014965423854507269,-1.4080554520872923
32,1545365446,39.6893,153.3926,0.036253073096582766,-0.0161170505076347,0.3080260059113867,0.01653198667439271,0.01495730334059153,-1.4080554520872923
33,1545365456,39.3029,154.0287,0.03708431161164377,-0.014919165463471454,0.3037674512279881,0.01653198667439271,0.014949158144677285,-1.4080554520872923
34,1545365466,38.9126,154.6574,0.0378769175837522,-0.013704288543901657,0.29952396479140714,0.01653198667439271,0.01494098944041335,-1.4080554520872923
35,1545365476,38.5186,155.2787,0.03863140915996005,-0.012474579528071931,0.2952986075113437,0.01653198667439271,0.01493279838497256,-1.4080554520872923
36,1545365486,38.1208,155.8927,0.0393492256041689,-0.011231742736577377,0.2910916644524055,0.01653198667439271,0.0149245861188547,-1.4080554520872923
